EAN,item_description,brand_name,category,currency,Price
2724343301362,"YI Dome Camera 1080p HD Wireless IP Security Surveillance Night Vision - Black, US Edition",yi,security & surveillance systems,SAR,269.96
2724305079650,CCTV SYSTEM 4 Camera 800 TVL with Icloud P2P DVR DIY KIT with cables and Hard Drivr,evesion,security & surveillance systems,SAR,650.00
2724709345351,"Ring Stick Up Cam Wired HD Security Camera , White",ring,security & surveillance systems,SAR,765.00
2724316070806,720P HD WIFI Surveillance IP Camera Motion Alarm Detection sd card input Night Vision Mini Design,other,security & surveillance systems,SAR,218.58
2724549087145,Xiaomi Mi Home Security Camera 360° - White,xiaomi,security & surveillance systems,SAR,197.90
2724317757997,"CAMERA IP, a network of wireless camera, WiFi, a smart home for high - night vision.",new universe,security & surveillance systems,SAR,99.34
2724310407653,Foscam C1 Indoor HD 720p Wireless Plug and Play IP Camera with Night Vision - Black,foscam,security & surveillance systems,SAR,349.00
2724338716881,"YI Home Camera  HD Wireless Video Monitor Night Vision Motion Detection - White, International Version",yi,security & surveillance systems,SAR,275.00
2724302447490,8CH Full HD OUTDOOR  1280 X 720P DVR NVR AHD outdor Camera System 1200 TVL CCTV SYSTEM,other,security & surveillance systems,SAR,969.99
2724273392010,"CCTV Camera with night and morning vision, and Recorder",other,security & surveillance systems,SAR,900.00
2724689134167,Xiaomi Mi Home Security Camera 360° 1080p Videos - White,xiaomi,security & surveillance systems,SAR,183.99
2724324689038,"Hikvision , 8-Ch HD Security Camera Kit",hikvision,security & surveillance systems,SAR,799.00
2724452141477,Hikvision Turbo HD 1 megapixel 720p 4 Channel CCTV Camera Kit DS-J1421,hikvision,security & surveillance systems,SAR,486.00
2724279978812,Aiptek Surveillance Camera -  Air2U,aiptek,security & surveillance systems,SAR,350.00
2724449250502,"YI Dome Camera 1080p HD Wireless IP Security Surveillance Night Vision - White, US Edition",yi,security & surveillance systems,SAR,279.98
2724677378146,"EZVIZ C6T, 1080p WiFi Smart Home Security Camera, CCTV camera with Motion Tracking,",ezviz,security & surveillance systems,SAR,209.99
